Id,NAME,OWNERSHIP,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
a735bf55-83e9-331a-899d-a82a60b9f60c,Medicare,GOVERNMENT,,,,,,6101018.79,281043.09,468455.40,1634,0,2134,0,2857,0,289,0,31,0.6470101383117339,2904
df166300-5a78-3502-a46a-832842197811,Medicaid,GOVERNMENT,,,,,,12366223.49,352350.33,128850.00,4204,0,2119,0,5344,0,1100,0,58,0.8821028595240032,12972
d18ef2e6-ef40-324c-be54-34a5ee865625,Dual Eligible,GOVERNMENT,,,,,,8413338.53,244943.74,43630.00,4389,0,4531,0,5283,0,353,0,13,0.5950986308894152,4428
26aab0cd-6aba-3e1b-ac5b-05c8867e762c,Humana,PRIVATE,,,,,,6449455.26,2344753.92,2771568.00,2173,0,1747,0,3069,0,981,0,22,0.9312006681589212,8196
b046940f-1664-3047-bca7-dfa76be352a4,Blue Cross Blue Shield,PRIVATE,,,,,,2670560.62,623051.09,1591212.00,630,0,235,0,857,0,356,0,31,0.5617849223064102,4860
d31fccc3-1767-390d-966a-22a5156f4219,UnitedHealthcare,PRIVATE,,,,,,3897484.72,800353.74,2172960.00,1518,0,370,0,2151,0,430,0,15,0.931991158590529,4356
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,,,,,,1208231.63,627583.36,308954.75,734,0,520,0,951,0,228,0,22,0.9324891425855568,2736
8fa6c185-e44e-3e34-8bd8-39be8694f4ce,Cigna Health,PRIVATE,,,,,,2510549.50,674165.46,488076.41,839,0,618,0,1119,0,271,0,23,0.9155453456848232,2832
734afbd6-4794-363b-9bc0-6a3981533ed5,Anthem,PRIVATE,,,,,,2000740.35,386942.13,543348.79,544,0,385,0,780,0,195,0,18,0.8869163622720608,1752
e03e23c9-4df1-3eb6-a62d-f70f02301496,NO_INSURANCE,NO_INSURANCE,,,,,,0.00,15703456.14,0.00,0,3920,0,1120,0,6286,0,1763,49,0.9829866125641966,15936
